- IexWznmIni vv1.0.6
- ImeIAVKeylistKey1.srefKlsIxWznmVKeylist	sref	Avail	Implied	Title	Comment
- KlstWznmKTaggrp	mimetype			MIME type	
- KlstWznmKTaggrp	no			no thing	
- KlstWznmKTaggrp	none			none	
- KlstWznmKTaggrp	oolop			VecXxxxVOolop item	
- KlstWznmKTaggrp	prs			default person	
- KlstWznmKTaggrp	prstit			person title	
- KlstWznmKTaggrp	qrystate			VecXxxxVQrystate item	
- KlstWznmKTaggrp	recaccess			VecXxxxVRecaccess item	
- KlstWznmKTaggrp	reqitmode			VecXxxxVReqitmode item	
- KlstWznmKTaggrp	sex			sex	
- KlstWznmKTaggrp	start			login card	
- KlstWznmKTaggrp	stdalr			standard alert message	
- KlstWznmKTaggrp	stdiex			standard import/export complex title	
- KlstWznmKTaggrp	stdrel			standard relation title	
- KlstWznmKTaggrp	stdtbl			standard table title	
- KlstWznmKTaggrp	stdtco			standard table column title	
- KlstWznmKTaggrp	stdvec			standard vector title	
- KlstWznmKTaggrp	userlevel			VecXxxxVUserlevel item	
- KlstWznmKTaggrp	usrste			user state	
- KlstWznmKTaggrp	wkday			weekday	
- ImeIAVKeylistKey1.end
- ImeIMUsergroup.sref	Comment
- wznmusers
	- ImeIAMUsergroupAccess.srefX1IxWznmVFeatgroup	x2FeaSrefUix	srefsIxWznmWAccess
	- VecWznmVCard	CrdWznmUsg	edit;exec;view
	- VecWznmVCard	CrdWznmUsr	edit;exec;view
	- VecWznmVCard	CrdWznmPrs	edit;exec;view
	- VecWznmVCard	CrdWznmFil	edit;exec;view
	- VecWznmVCard	CrdWznmLoc	edit;exec;view
	- VecWznmVCard	CrdWznmTag	edit;exec;view
	- VecWznmVCard	CrdWznmCtp	edit;exec;view
	- VecWznmVCard	CrdWznmMty	edit;exec;view
	- VecWznmVCard	CrdWznmMch	edit;exec;view
	- VecWznmVCard	CrdWznmLib	edit;exec;view
	- VecWznmVCard	CrdWznmPrj	edit;exec;view
	- VecWznmVCard	CrdWznmVer	edit;exec;view
	- VecWznmVCard	CrdWznmCap	edit;exec;view
	- VecWznmVCard	CrdWznmErr	edit;exec;view
	- VecWznmVCard	CrdWznmTbl	edit;exec;view
	- VecWznmVCard	CrdWznmTco	edit;exec;view
	- VecWznmVCard	CrdWznmSbs	edit;exec;view
	- VecWznmVCard	CrdWznmRel	edit;exec;view
	- VecWznmVCard	CrdWznmVec	edit;exec;view
	- VecWznmVCard	CrdWznmVit	edit;exec;view
	- VecWznmVCard	CrdWznmChk	edit;exec;view
	- VecWznmVCard	CrdWznmStb	edit;exec;view
	- VecWznmVCard	CrdWznmIex	edit;exec;view
	- VecWznmVCard	CrdWznmIme	edit;exec;view
	- VecWznmVCard	CrdWznmIel	edit;exec;view
	- VecWznmVCard	CrdWznmPst	edit;exec;view
	- VecWznmVCard	CrdWznmMdl	edit;exec;view
	- VecWznmVCard	CrdWznmCar	edit;exec;view
	- VecWznmVCard	CrdWznmDlg	edit;exec;view
	- VecWznmVCard	CrdWznmPnl	edit;exec;view
	- VecWznmVCard	CrdWznmQry	edit;exec;view
	- VecWznmVCard	CrdWznmQco	edit;exec;view
	- VecWznmVCard	CrdWznmQmd	edit;exec;view
	- VecWznmVCard	CrdWznmCon	edit;exec;view
	- VecWznmVCard	CrdWznmOpk	edit;exec;view
	- VecWznmVCard	CrdWznmOpx	edit;exec;view
	- VecWznmVCard	CrdWznmJob	edit;exec;view
	- VecWznmVCard	CrdWznmSge	edit;exec;view
	- VecWznmVCard	CrdWznmMtd	edit;exec;view
	- VecWznmVCard	CrdWznmBlk	edit;exec;view
	- VecWznmVCard	CrdWznmCal	edit;exec;view
	- VecWznmVCard	CrdWznmCmp	edit;exec;view
	- VecWznmVCard	CrdWznmRls	edit;exec;view
	- VecWznmVCard	CrdWznmApp	edit;exec;view
	- VecWznmVCard	CrdWznmRtj	edit;exec;view
	- VecWznmVCard	CrdWznmEvt	edit;exec;view
	- VecWznmVCard	CrdWznmSeq	edit;exec;view
	- VecWznmVCard	CrdWznmSte	edit;exec;view
	- VecWznmVCard	CrdWznmUtl	edit;exec;view
	- ImeIAMUsergroupAccess.end
	- ImeIMUser.sref	srefIxVState	srefIxWznmVLocale	srefIxWznmVUserlevel	Password	Comment
	- wznmuser	act	enus	adm	asdf1234
		- ImeIMPerson.srefIxVSex	Title	Firstname	Lastname
		- f	Mrs.	Emily	Johnson
		- ImeIMPerson.end
	- ImeIMUser.end
- ImeIMUsergroup.end
